Medium,Transport Type,Vehicle Type,Drive,Scenario,Frequency
road,freight,mt,ice_g,Reference,Yearly
road,freight,mt,lpg,Reference,Yearly
road,freight,mt,phev_d,Reference,Yearly
road,freight,mt,phev_g,Reference,Yearly
rail,freight,all,rail_diesel,Reference,Yearly
rail,freight,all,rail_electricity,Reference,Yearly
rail,freight,all,rail_fuel_oil,Reference,Yearly
rail,freight,all,rail_gasoline,Reference,Yearly
rail,freight,all,rail_kerosene,Reference,Yearly
rail,freight,all,rail_lpg,Reference,Yearly
ship,freight,all,ship_ammonia,Reference,Yearly
ship,freight,all,ship_diesel,Reference,Yearly
ship,freight,all,ship_fuel_oil,Reference,Yearly
ship,freight,all,ship_gasoline,Reference,Yearly
ship,freight,all,ship_kerosene,Reference,Yearly
ship,freight,all,ship_lpg,Reference,Yearly
rail,freight,all,rail_natural_gas,Reference,Yearly
rail,passenger,all,rail_natural_gas,Reference,Yearly
ship,passenger,all,ship_electric,Reference,Yearly
ship,freight,all,ship_electric,Reference,Yearly
air,freight,all,air_electric,Reference,Yearly
air,passenger,all,air_electric,Reference,Yearly
air,freight,all,air_hydrogen,Reference,Yearly
air,passenger,all,air_hydrogen,Reference,Yearly
ship,freight,all,ship_lng,Reference,Yearly
ship,passenger,all,ship_lng,Reference,Yearly
ship,freight,all,ship_hydrogen,Reference,Yearly
ship,passenger,all,ship_hydrogen,Reference,Yearly
road,passenger,2w,bev,Target,Yearly
road,passenger,2w,ice_d,Target,Yearly
road,passenger,2w,ice_g,Target,Yearly
air,passenger,all,air_av_gas,Target,Yearly
air,passenger,all,air_diesel,Target,Yearly
air,passenger,all,air_fuel_oil,Target,Yearly
air,passenger,all,air_gasoline,Target,Yearly
air,passenger,all,air_jet_fuel,Target,Yearly
air,passenger,all,air_kerosene,Target,Yearly
air,passenger,all,air_lpg,Target,Yearly
rail,passenger,all,rail_coal,Target,Yearly
road,passenger,bus,bev,Target,Yearly
road,passenger,bus,cng,Target,Yearly
road,passenger,bus,fcev,Target,Yearly
road,passenger,bus,ice_d,Target,Yearly
road,passenger,bus,ice_g,Target,Yearly
road,passenger,bus,lpg,Target,Yearly
road,passenger,bus,phev_d,Target,Yearly
road,passenger,bus,phev_g,Target,Yearly
road,passenger,car,bev,Target,Yearly
road,passenger,car,cng,Target,Yearly
road,passenger,car,fcev,Target,Yearly
road,passenger,car,ice_d,Target,Yearly
road,passenger,car,ice_g,Target,Yearly
road,passenger,car,lpg,Target,Yearly
road,passenger,car,phev_d,Target,Yearly
road,passenger,car,phev_g,Target,Yearly
road,passenger,lt,bev,Target,Yearly
road,passenger,lt,cng,Target,Yearly
road,passenger,lt,fcev,Target,Yearly
road,passenger,lt,ice_d,Target,Yearly
road,passenger,lt,ice_g,Target,Yearly
road,passenger,lt,lpg,Target,Yearly
road,passenger,lt,phev_d,Target,Yearly
road,passenger,lt,phev_g,Target,Yearly
road,passenger,suv,bev,Target,Yearly
road,passenger,suv,cng,Target,Yearly
road,passenger,suv,fcev,Target,Yearly
road,passenger,suv,ice_d,Target,Yearly
road,passenger,suv,ice_g,Target,Yearly
road,passenger,suv,lpg,Target,Yearly
road,passenger,suv,phev_d,Target,Yearly
road,passenger,suv,phev_g,Target,Yearly
rail,passenger,all,rail_diesel,Target,Yearly
rail,passenger,all,rail_electricity,Target,Yearly
rail,passenger,all,rail_fuel_oil,Target,Yearly
rail,passenger,all,rail_gasoline,Target,Yearly
rail,passenger,all,rail_kerosene,Target,Yearly
rail,passenger,all,rail_lpg,Target,Yearly
ship,passenger,all,ship_ammonia,Target,Yearly
ship,passenger,all,ship_diesel,Target,Yearly
ship,passenger,all,ship_fuel_oil,Target,Yearly
ship,passenger,all,ship_gasoline,Target,Yearly
ship,passenger,all,ship_kerosene,Target,Yearly
ship,passenger,all,ship_lpg,Target,Yearly
air,freight,all,air_av_gas,Target,Yearly
air,freight,all,air_diesel,Target,Yearly
air,freight,all,air_fuel_oil,Target,Yearly
air,freight,all,air_gasoline,Target,Yearly
air,freight,all,air_jet_fuel,Target,Yearly
air,freight,all,air_kerosene,Target,Yearly
air,freight,all,air_lpg,Target,Yearly
rail,freight,all,rail_coal,Target,Yearly
road,freight,ht,bev,Target,Yearly
road,freight,ht,cng,Target,Yearly
road,freight,ht,fcev,Target,Yearly
road,freight,ht,ice_d,Target,Yearly
road,freight,ht,ice_g,Target,Yearly
road,freight,ht,lpg,Target,Yearly
road,freight,ht,phev_d,Target,Yearly
road,freight,ht,phev_g,Target,Yearly
road,freight,lcv,bev,Target,Yearly
road,freight,lcv,cng,Target,Yearly
road,freight,lcv,fcev,Target,Yearly
road,freight,lcv,ice_d,Target,Yearly
road,freight,lcv,ice_g,Target,Yearly
road,freight,lcv,lpg,Target,Yearly
road,freight,lcv,phev_d,Target,Yearly
road,freight,lcv,phev_g,Target,Yearly
road,freight,mt,bev,Target,Yearly
road,freight,mt,cng,Target,Yearly
road,freight,mt,fcev,Target,Yearly
road,freight,mt,ice_d,Target,Yearly
road,freight,mt,ice_g,Target,Yearly
road,freight,mt,lpg,Target,Yearly
road,freight,mt,phev_d,Target,Yearly
road,freight,mt,phev_g,Target,Yearly
rail,freight,all,rail_diesel,Target,Yearly
rail,freight,all,rail_electricity,Target,Yearly
rail,freight,all,rail_fuel_oil,Target,Yearly
rail,freight,all,rail_gasoline,Target,Yearly
rail,freight,all,rail_kerosene,Target,Yearly
rail,freight,all,rail_lpg,Target,Yearly
ship,freight,all,ship_ammonia,Target,Yearly
ship,freight,all,ship_diesel,Target,Yearly
ship,freight,all,ship_fuel_oil,Target,Yearly
ship,freight,all,ship_gasoline,Target,Yearly
ship,freight,all,ship_kerosene,Target,Yearly
ship,freight,all,ship_lpg,Target,Yearly
rail,freight,all,rail_natural_gas,Target,Yearly
rail,passenger,all,rail_natural_gas,Target,Yearly
ship,passenger,all,ship_electric,Target,Yearly
ship,freight,all,ship_electric,Target,Yearly
air,freight,all,air_electric,Target,Yearly
air,passenger,all,air_electric,Target,Yearly
air,freight,all,air_hydrogen,Target,Yearly
air,passenger,all,air_hydrogen,Target,Yearly
ship,freight,all,ship_lng,Target,Yearly
ship,passenger,all,ship_lng,Target,Yearly
ship,freight,all,ship_hydrogen,Target,Yearly
ship,passenger,all,ship_hydrogen,Target,Yearly
